Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
3862,Hanhart,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,1128.0,Item is in stock,
3863,Zeppelin,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,270.0,Item needs to be procured,2330.0
3864,Gruen,Manual winding,Yellow gold,Leather,,"No original box, no original papers",Men's watch/Unisex,2250.0,Item is in stock,404.0
3865,Mondaine,,,,New,"Original box, original papers",,239.0,Item is in stock,733.0
3866,Titus,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1241.0,Item is in stock,
3867,Ball,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1995.0,Item is in stock,1606.0
3868,Patek Philippe,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,59497.0,Item is in stock,41.0
3869,Sinn,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3935.0,Item is in stock,
3870,Arnold & Son,Manual winding,Steel,Calf skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3037.0,Item is in stock,
3871,Oris,Automatic,Steel,Rubber,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,5500.0,Item is in stock,1369.0
3872,Parmigiani Fleurier,Automatic,Steel,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,7581.0,Item is in stock,136.0
3873,Schaumburg,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2250.0,Item available on request,566.0
3874,Gucci,Quartz,Steel,Silicon,New,"Original box, original papers",,895.0,Item is in stock,1179.0
3875,Omega,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,4950.0,Item is in stock,228.0
3876,Rolex,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,22797.0,Item is in stock,41.0
3877,Romain Jerome,Automatic,Steel,,Used (Very good),"Original papers, no original box",Men's watch/Unisex,12472.0,Item needs to be procured,921.0
