id,brand,movement,case_material,bracelet_material,condition,scope_of_delivery,gender,price,availability,watches_sold
315,Chronoswiss,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,2407.0,Available,17847
316,Movado,Manual winding,Yellow gold,Crocodile skin,Used (Good),Original Box,Men's watch/Unisex,1945.0,Available,253
319,Rolex,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,13000.0,Available,544
320,Ulysse Nardin,Automatic,Titanium,Rubber,New,Original Box and Papers,Men's watch/Unisex,58784.0,Available Upon Request,1
324,IWC,Automatic,Yellow gold,Yellow gold,Used (Good),No Box and papers,Men's watch/Unisex,19500.0,Available,445
327,Meistersinger,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,1242.0,Available,228
328,Zeppelin,Quartz,Steel,Crocodile skin,New,Original Box and Papers,Men's watch/Unisex,301.0,Available,2328
329,Casio,Solar,Steel,Plastic,New,Original Box and Papers,Men's watch/Unisex,800.0,Available,2260
332,Oris,Automatic,Steel,Rubber,Used (Good),Original Box,Men's watch/Unisex,1294.0,Available,14
333,Benzinger,Manual winding,Steel,Crocodile skin,New,Original Box and Papers,Men's watch/Unisex,11020.0,Available Upon Request,566
334,Breguet,Automatic,Yellow gold,Satin,New,Original Box and Papers,Women's watch,27000.0,Available,75
335,Porsche Design,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,962.0,Available,722
337,Alpina,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1831.0,Available,2053
338,Vulcain,Manual winding,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,2668.0,Available,13
339,Festina,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,172.0,Available,1606
340,Gaga Milano,Manual winding,Steel,Leather,Used,Original Box and Papers,Men's watch/Unisex,600.0,Available,460
341,Oris,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,2000.0,Available,1504
342,Jean Marcel,Manual winding,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,3295.0,Available Upon Request,1072
343,De Grisogono,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,3403.0,Available,117
344,Seiko,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,1367.0,Available,2260
346,H.Moser & Cie.,Manual winding,Yellow gold,Crocodile skin,Used (Good),No Box and papers,Men's watch/Unisex,4159.0,Available,385
347,Raymond Weil,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1411.0,Available Upon Request,312
351,Blancpain,Automatic,Ceramic,Textile,New,Original Box,Men's watch/Unisex,14855.0,Available,2222
352,Azimuth,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,6763.0,Available Upon Request,566
353,Slava,Manual winding,Steel,Textile,Used (Good),No Box and papers,Men's watch/Unisex,250.0,Available,78
354,De Grisogono,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,2701.0,Available,18
358,Union Glashütte,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,2728.0,Available,2481
360,Romain Jerome,Automatic,Steel,Rubber,New,Original Paper,Men's watch/Unisex,5250.0,Available Upon Request,212
362,Eterna,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,3029.0,Available,313
364,Panerai,Manual winding,Steel,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,5395.0,Available,615
366,Concord,Quartz,Gold/Steel,Gold/Steel,New,Original Box and Papers,Women's watch,2150.0,Available Upon Request,712
368,Maurice Lacroix,Manual winding,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,5995.0,Available,545
372,Louis Moinet,Manual winding,Steel,Crocodile skin,Used (Good),Original Box and Papers,Men's watch/Unisex,7552.0,Available,566
373,Bell & Ross,Automatic,Steel,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,3495.0,Available,1504
375,Glycine,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,486.0,Available,272
376,Louis Erard,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1404.0,Available,353
377,Orient,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,271.0,Available,948
379,Blancpain,Automatic,Rose gold,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,74999.0,Available,1226
381,Certina,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,3499.0,Available,171
382,Piaget,Automatic,White gold,White gold,Used (Good),No Box and papers,Men's watch/Unisex,10796.0,Available,9
383,Cuervo y Sobrinos,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,2436.0,Available Upon Request,14925
384,Nivada,Manual winding,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1005.0,Available Upon Request,1072
385,Poljot,Manual winding,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,485.0,Available,2053
386,Franck Muller,Quartz,Steel,Steel,Used (Good),Original Box and Papers,Women's watch,2395.0,Available,830
388,NOMOS,Manual winding,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1323.0,Available Upon Request,949
389,Nivada,Quartz,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,594.0,Available,342
391,Certina,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,843.0,Available,722
